"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202503","0100VDE01800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE02000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE02200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE02400","1","434107","3.63","94.42","88364","916","20250401083008"
"202503","0100VDE02600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE02651","1","1309032","3.48","101.65","89280","0","20250401083008"
"202503","0100VDE02800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE03000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE03100","1","490519","3.93","92.80","87611","1141","20250401083008"
"202503","0100VDE03300","1","513277","3.53","91.66","88054","1226","20250401083008"
"202503","0100VDE03500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE03700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE03950","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE04100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE04300","1","570550","4.51","94.93","89268","12","20250401083008"
"202503","0100VDE04500","1","648176","5.04","96.10","89266","14","20250401083008"
"202503","0100VDE04700","1","648045","4.82","96.89","89280","0","20250401083008"
"202503","0100VDE04900","1","647795","4.91","98.53","89264","16","20250401083008"
"202503","0100VDE05100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE05300","1","674993","5.19","95.42","89242","38","20250401083008"
"202503","0100VDE05500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE05700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE05900","1","700676","5.29","90.80","89278","2","20250401083008"
"202503","0100VDE06000","1","699773","5.12","93.65","89280","0","20250401083008"
"202503","0100VDE06100","1","699104","5.23","93.43","89280","0","20250401083008"
"202503","0100VDE06200","1","570845","4.43","93.31","89280","0","20250401083008"
"202503","0100VDE06400","1","709789","3.52","93.82","89012","268","20250401083008"
"202503","0100VDE06470","1","-1","-1.00","-1.00","29148","35670","20250401083008"
"202503","0100VDE06471","1","-1","-1.00","-1.00","32989","50144","20250401083008"
"202503","0100VDE06550","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE06600","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE06620","1","-1","-1.00","-1.00","27304","35928","20250401083008"
"202503","0100VDE06670","1","-1","-1.00","-1.00","18110","29638","20250401083008"
"202503","0100VDE06700","1","814174","3.73","99.85","89044","236","20250401083008"
"202503","0100VDE06800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE06900","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE06950","1","-1","-1.00","-1.00","15715","21704","20250401083008"
"202503","0100VDE07100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE07200","1","985985","3.43","98.99","89034","245","20250401083008"
"202503","0100VDE07300","1","927329","3.43","96.87","89085","195","20250401083008"
"202503","0100VDE07320","1","-1","-1.00","-1.00","42839","44778","20250401083008"
"202503","0100VDE07321","1","-1","-1.00","-1.00","54086","33152","20250401083008"
"202503","0100VDE07350","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE07351","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE07353","1","1056233","3.89","97.14","84365","4329","20250401083008"
"202503","0100VDE07354","1","1024863","3.35","102.34","89239","41","20250401083008"
"202503","0100VDE07355","1","1048176","3.68","97.14","89280","0","20250401083008"
"202503","0100VDE07356","1","1044827","3.67","98.26","89269","11","20250401083008"
"202503","0100VDE07358","1","1044114","3.43","101.49","89100","180","20250401083008"
